ip_address,success,server,x_powered_by,status_code,redirect,redirect_location
198.244.88.250,False,,,,False,
38.54.228.25,True,nginx,,404.0,False,False
154.12.194.175,True,squid/3.5.20,,400.0,False,False
77.68.82.252,False,,,,False,
45.60.114.180,True,,,503.0,False,False
104.102.70.85,False,,,,False,
93.22.138.209,False,,,,False,
133.162.209.72,False,,,,False,
104.66.76.95,False,,,,False,
173.249.190.177,False,,,,False,
